Index,Id,Name,Level,Rarity,Type,Class,Tag1,Tag2,Tag3,Price,IconId,SpriteId,Meta
0,WarriorHelmet_Common,헬멧,1,0,3,,,,,10,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
1,WarriorHelmet_Rare,헬멧,10,1,3,,,,,100,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
2,WarriorHelmet_Epic,헬멧,20,2,3,,,,,200,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
3,WarriorHelmet_Legendary,헬멧,30,3,3,,,,,300,FantasyHeroes.Basic.Helmet.WarriorArmor,FantasyHeroes.Basic.Helmet.WarriorArmor,
4,WarriorArmor_Common,갑옷,1,0,2,,,,,10,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
5,WarriorArmor_Rare,갑옷,10,1,2,,,,,100,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
6,WarriorArmor_Epic,갑옷,20,2,2,,,,,200,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
7,WarriorArmor_Legendary,갑옷,30,3,2,,,,,300,FantasyHeroes.Basic.Armor.WarriorArmor,FantasyHeroes.Basic.Armor.WarriorArmor,
8,WarriorLeggings_Common,각반,1,0,9,,,,,10,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
9,WarriorLeggings_Rare,각반,10,1,9,,,,,100,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
10,WarriorLeggings_Epic,각반,20,2,9,,,,,200,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
11,WarriorLeggings_Legendary,각반,30,3,9,,,,,300,FantasyHeroes.Basic.Leggings.WarriorArmor,FantasyHeroes.Basic.Leggings.WarriorArmor,
12,WarriorSword_Common,검,1,0,0,,,,,10,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
13,WarriorSword_Rare,검,10,1,0,,,,,100,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
14,WarriorSword_Epic,검,20,2,0,,,,,200,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
15,WarriorSword_Legendary,검,30,3,0,,,,,300,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,FantasyHeroes.Basic.MeleeWeapon2H.WarriorGreatsword,
